,ds,yhat,yhat_lower,yhat_upper
149,2021-11-20 14:34:14,28950305.520916544,14840528.466543844,43327763.89510846
150,2021-11-20 14:34:19,28955810.988685664,14087342.418481227,42035774.73959426
151,2021-11-20 14:34:24,28961316.456454787,17433181.734914724,42615924.650386766
152,2021-11-20 14:34:29,28966821.92422391,15458228.192410406,41502133.73524387
153,2021-11-20 14:34:34,28972327.391993035,14283463.336762274,43521033.29031778
154,2021-11-20 14:34:39,28977832.859762155,16931181.48089854,42500235.74717488
155,2021-11-20 14:34:44,28983338.32753128,15013289.548073133,41976074.578442246
156,2021-11-20 14:34:49,28988843.795300405,14466126.857515262,42760819.1999371
157,2021-11-20 14:34:54,28994349.263069525,15120551.515174404,43347103.03263141
158,2021-11-20 14:34:59,28999854.73083865,15185060.116833808,42428830.135185644
159,2021-11-20 14:35:04,29005360.198607773,15447096.657944899,42809855.941532105
160,2021-11-20 14:35:09,29010865.666376896,14843088.303861422,42982634.46777296
161,2021-11-20 14:35:14,29016371.13414602,14273807.639113566,41474344.8344209
162,2021-11-20 14:35:19,29021876.601915143,15292162.966609329,43520676.586442605
163,2021-11-20 14:35:24,29027382.069684263,15893554.076277947,43371065.691926055
164,2021-11-20 14:35:29,29032887.537453387,15062433.456950467,42987642.45181761
165,2021-11-20 14:35:34,29038393.00522251,15388134.392032992,41835606.0094704
166,2021-11-20 14:35:39,29043898.472991634,14315782.25863834,41529184.26538412
167,2021-11-20 14:35:44,29049403.940760758,16261200.231437035,43417491.21835994
168,2021-11-20 14:35:49,29054909.40852988,14336548.212539537,42526493.27854893
169,2021-11-20 14:35:54,29060414.876299005,15336049.017102005,43620257.18570198
170,2021-11-20 14:35:59,29065920.344068125,16485487.201232972,43051280.22034426
171,2021-11-20 14:36:04,29071425.811837252,15862724.821420291,41746818.83972577
172,2021-11-20 14:36:09,29076931.279606372,15322485.867448114,42569114.851746105
173,2021-11-20 14:36:14,29082436.747375496,16003954.069507519,43903688.64246778
174,2021-11-20 14:36:19,29087942.21514462,15953369.582803793,41469524.4605386
175,2021-11-20 14:36:24,29093447.682913743,14532134.51561752,42410843.94862468
176,2021-11-20 14:36:29,29098953.150682867,14537240.875697559,42753741.34877139
177,2021-11-20 14:36:34,29104458.61845199,15943981.778054038,42021418.828043066
178,2021-11-20 14:36:39,29109964.086221114,15706025.525547853,42222100.03051506
179,2021-11-20 14:36:44,29115469.553990234,14731023.35023795,43883202.003809445
180,2021-11-20 14:36:49,29120975.02175936,16071962.328464013,42881558.34958564
181,2021-11-20 14:36:54,29126480.48952848,16264742.041653162,42449268.861212805
182,2021-11-20 14:36:59,29131985.957297605,15874428.278540317,43086354.7492017
183,2021-11-20 14:37:04,29137491.42506673,15689666.032136517,42072086.29599911
184,2021-11-20 14:37:09,29142996.89283585,16190452.789217988,42338805.344889194
185,2021-11-20 14:37:14,29148502.360604975,14581496.517121386,41839823.590349466
186,2021-11-20 14:37:19,29154007.8283741,16042263.040050741,44000251.42495427
187,2021-11-20 14:37:24,29159513.296143223,14186598.236753995,41961957.567887664
188,2021-11-20 14:37:29,29165018.763912342,16307991.569769867,43118035.115101844
189,2021-11-20 14:37:34,29170524.23168147,16277153.467247898,43344126.84229329
190,2021-11-20 14:37:39,29176029.69945059,15376453.579503823,42381625.41830765
191,2021-11-20 14:37:44,29181535.167219713,15678972.868242128,42528305.1382553
192,2021-11-20 14:37:49,29187040.634988837,16065254.280461626,43589142.37880614
193,2021-11-20 14:37:54,29192546.10275796,15381030.347550768,42326589.39413861
194,2021-11-20 14:37:59,29198051.570527084,15746906.199062664,42266374.73798651
195,2021-11-20 14:38:04,29203557.038296208,12968511.155968726,43665539.12007568
196,2021-11-20 14:38:09,29209062.50606533,15868216.490803981,44053942.56767601
197,2021-11-20 14:38:14,29214567.97383445,15128901.671703165,43892579.60177789
198,2021-11-20 14:38:19,29220073.441603575,16363518.047071472,41486125.743800394
199,2021-11-20 14:38:24,29225578.9093727,15378358.279545743,44159338.23803727
200,2021-11-20 14:38:29,29231084.377141822,15275432.797384119,43041158.34475277
201,2021-11-20 14:38:34,29236589.844910942,16659684.462716993,43440838.584349915
