ds,yhat,yhat_lower,yhat_upper
2021-11-21 12:45:00,27394084.950768054,13130306.739380477,42144935.32188908
2021-11-21 12:45:30,27437549.580406908,11260613.764452478,42477159.11861625
2021-11-21 12:46:00,27516282.045609612,13202566.993956668,41641833.50354141
2021-11-21 12:46:30,27631261.395945087,12807323.282769462,41598132.85234995
2021-11-21 12:47:00,27782944.47775052,13045247.624980688,40837078.70872507
2021-11-21 12:47:30,27971245.552202027,12715293.403148908,41257597.351882264
2021-11-21 12:48:00,28195524.052085485,12951828.842747705,42332414.136247255
2021-11-21 12:48:30,28454580.710239276,14043916.988598691,42498984.77739202
2021-11-21 12:49:00,28746662.299489208,13894973.451009592,42960808.558329806
2021-11-21 12:49:30,29069474.965640407,13422478.924623838,46323796.29978779
2021-11-21 12:50:00,29420206.103845157,15678170.938532203,44178720.17157449
2021-11-21 12:50:30,29795554.45986095,15969661.27872887,43696786.5443341
2021-11-21 12:51:00,30191768.189094853,16196007.12516681,45347750.570681706
2021-11-21 12:51:30,30604690.292942278,15039584.65581715,44373437.06049146
2021-11-21 12:52:00,31029810.81031809,17466680.739574943,44808598.51267642
2021-11-21 12:52:30,31462325.065413848,17282395.704829928,46818537.394049965
2021-11-21 12:53:00,31897197.13236297,17129162.97696186,45900110.861595005
2021-11-21 12:53:30,32329227.510732338,18313310.412616145,46032124.5126849
2021-11-21 12:54:00,32753124.139864024,17402439.225896873,47425791.845658064
2021-11-21 12:54:30,33163575.585958365,18263526.11791775,48712891.09527386
2021-11-21 12:55:00,33555325.32576917,18525479.910731096,49349094.9477825
2021-11-21 12:55:30,33923246.04258462,18565594.474104285,47511668.34279656
2021-11-21 12:56:00,34262412.75824255,19568573.14921361,49106986.53731279
2021-11-21 12:56:30,34568173.67242898,20596707.194926508,49482209.11576017
2021-11-21 12:57:00,34836217.67036383,21346156.69726712,48138441.32849878
2021-11-21 12:57:30,35062637.40263352,18454446.75980228,49923271.13481098
2021-11-21 12:58:00,35243986.98458968,20737383.13075719,49933806.05638198
2021-11-21 12:58:30,35377333.39025745,20550517.398538623,49371483.337966226
2021-11-21 12:59:00,35460300.76622353,21093148.641224016,49283745.87987654
2021-11-21 12:59:30,35491106.94693791,21143821.119297687,48903109.03292802
2021-11-21 13:00:00,35468591.584153794,20267319.345315196,49236966.45116606
2021-11-21 13:00:30,35392235.45504628,20583975.569245778,49403320.378664695
2021-11-21 13:01:00,35262170.62234761,21498816.2357809,49502851.94590718
2021-11-21 13:01:30,35079181.27640745,20203300.891163267,49718983.223979466
2021-11-21 13:02:00,34844695.227564655,20902064.043039687,50829430.47070519
2021-11-21 13:02:30,34560766.138338074,20762573.15139213,49428502.086434
2021-11-21 13:03:00,34230046.81398356,19237550.808782723,47873133.190097466
2021-11-21 13:03:30,33855753.85711497,20014808.326972816,48317518.29865188
2021-11-21 13:04:00,33441624.297013093,19337095.505625404,47329993.922416225
2021-11-21 13:04:30,32991864.804018352,19148614.24909675,47125389.23953614
2021-11-21 13:05:00,32511094.25422565,18206088.038299937,46098736.24463392
2021-11-21 13:05:30,32004280.52904728,17794483.491360873,45168680.66506253
2021-11-21 13:06:00,31476672.48492175,18106053.36091537,44543093.13431905
2021-11-21 13:06:30,30933728.17849269,15312513.999988992,45585634.58356899
2021-11-21 13:07:00,30381040.360350307,15746162.394227859,44189836.02342829
2021-11-21 13:07:30,29824260.36808593,16474858.159339434,43993282.15096459
2021-11-21 13:08:00,29269021.6778219,14617208.145078247,44147432.38057871
2021-11-21 13:08:30,28720864.101285454,15362430.020912701,42489653.19218656
2021-11-21 13:09:00,28185159.863689657,12200910.909868108,43059955.77209026
2021-11-21 13:09:30,27667042.67049357,14205115.122323668,41749925.99251366
2021-11-21 13:10:00,27171340.77709532,11391237.844486387,40080311.57023892
2021-11-21 13:10:30,26702515.001294393,11718574.52824113,41003407.289303936
2021-11-21 13:11:00,26264602.73534709,12549080.410698773,41889819.61951055
2021-11-21 13:11:30,25861168.591923468,12439297.425844349,40085294.29951058
2021-11-21 13:12:00,25495262.47398867,11535282.451783769,39430929.3161857
2021-11-21 13:12:30,25169385.624671463,10635543.388299553,40384120.60287393
2021-11-21 13:13:00,24885465.130280748,8455310.085432958,38181089.09231596
2021-11-21 13:13:30,24644837.14491853,9984389.124995558,37658525.91364039
2021-11-21 13:14:00,24448239.02851024,8920293.754116021,39026509.37932139
2021-11-21 13:14:30,24295810.490906425,9966976.39779918,40272486.9527306
2021-11-21 13:15:00,24187103.529746402,8841684.917500535,38168775.725697264
2021-11-21 13:15:30,24121101.01351662,9446266.69938715,38271155.28606493
2021-11-21 13:16:00,24096243.47175511,10253898.946933175,39015701.714355215
2021-11-21 13:16:30,24110463.624519847,9139825.578133842,38106939.70257542
2021-11-21 13:17:00,24161227.994616758,9150166.174026072,37839654.89412337
2021-11-21 13:17:30,24245584.901859198,8960665.82524791,38254355.232240915
2021-11-21 13:18:00,24360217.992086202,10450146.797830267,39879326.47122471
2021-11-21 13:18:30,24501504.41901806,10905245.754064225,38800860.53734724
2021-11-21 13:19:00,24665576.681228787,10871016.934854059,39034942.838802144
2021-11-21 13:19:30,24848387.108991917,10436522.4683583,38715130.639869116
2021-11-21 13:20:00,25045773.958268378,11063741.179155705,40044653.002932645
2021-11-21 13:20:30,25253528.026975174,10469404.369482765,39185639.598317
2021-11-21 13:21:00,25467458.730524145,11373835.913512556,39053571.1316131
2021-11-21 13:21:30,25683458.59917169,10018441.015010515,40402246.906877644
2021-11-21 13:22:00,25897565.207744762,10632321.629563982,39899402.74288111
2021-11-21 13:22:30,26106019.529180866,11914790.834912356,41138695.37697589
2021-11-21 13:23:00,26305319.881336067,12334738.273130221,40408939.38758299
2021-11-21 13:23:30,26492270.64486937,12496641.51919456,41037585.77195107
2021-11-21 13:24:00,26664025.011323556,13674565.977988262,41569982.63189319
2021-11-21 13:24:30,26818121.21665531,12228239.918449424,41136480.238287546
2021-11-21 13:25:00,26952511.719331942,11943976.004280375,41723337.47626994
2021-11-21 13:25:30,27065584.973948285,12772329.055393724,41075443.73463573
2021-11-21 13:26:00,27156179.573460944,12154360.41232844,41835435.06412839
